,uid
1,5970.0
2,5979.0
3,5955.0
4,8605.0
5,7768.0
6,7704.0
7,7636.0
8,10229.0
9,10250.0
10,10172.0
11,30998.0
12,31021.0
13,30688.0
14,30710.0
15,1444.0
16,1454.0
17,9762.0
18,9790.0
19,8395.0
20,8374.0
21,8670.0
22,8268.0
23,7849.0
24,6938.0
25,6948.0
26,25650.0
27,36844.0
28,36854.0
29,37211.0
30,37216.0
31,37203.0
32,37668.0
33,37655.0
34,37549.0
35,37539.0
36,37407.0
37,37415.0
38,37400.0
39,19861.0
40,19962.0
41,19776.0
42,12126.0
43,31945.0
44,31999.0
45,37270.0
46,37276.0
47,37262.0
48,3013.0
49,3149.0
50,22721.0
51,22931.0
52,22593.0
53,22765.0
54,32179.0
55,32221.0
56,29744.0
57,30071.0
58,30110.0
59,24089.0
60,24105.0
61,12155.0
62,29735.0
63,25258.0
64,25306.0
65,26097.0
66,25926.0
67,25939.0
68,25457.0
69,25943.0
70,10202.0
71,10062.0
72,10220.0
73,9930.0
74,9738.0
75,9904.0
76,9804.0
77,9884.0
78,7437.0
79,6935.0
80,6975.0
81,7962.0
82,7970.0
83,7975.0
84,7216.0
85,8302.0
86,8230.0
87,8243.0
88,8222.0
89,6942.0
90,6958.0
91,6962.0
92,7919.0
93,7924.0
94,8725.0
95,7016.0
96,7032.0
97,7037.0
98,7329.0
99,7324.0
100,7735.0
101,6979.0
102,6995.0
103,8618.0
104,8219.0
105,8224.0
106,6872.0
107,6345.0
108,6340.0
109,4333.0
110,4524.0
111,4516.0
112,4502.0
113,5404.0
114,5402.0
115,4053.0
116,6438.0
117,6011.0
118,6021.0
119,6489.0
120,6334.0
121,6348.0
122,5928.0
123,5908.0
124,4940.0
125,4934.0
126,4294.0
127,4261.0
128,5619.0
129,6372.0
130,6378.0
131,6474.0
132,5906.0
133,5949.0
134,4727.0
135,4734.0
136,4119.0
137,4070.0
138,4092.0
139,6887.0
140,5075.0
141,6803.0
142,6837.0
143,6761.0
144,6714.0
145,6814.0
146,7634.0
147,7662.0
148,6608.0
149,5550.0
150,4081.0
151,11325.0
152,11295.0
153,11432.0
154,11409.0
155,28111.0
156,28162.0
157,15057.0
158,14822.0
159,15102.0
160,15275.0
161,25164.0
162,25551.0
163,25060.0
164,25085.0
165,24586.0
166,25558.0
167,25591.0
168,25427.0
169,25462.0
170,24774.0
171,24799.0
172,25046.0
173,25074.0
174,24882.0
175,24986.0
176,24981.0
177,25020.0
178,24468.0
179,24508.0
180,24748.0
181,24883.0
182,24915.0
183,25076.0
184,24734.0
185,24779.0
186,1567.0
187,1582.0
188,18661.0
189,18724.0
190,22306.0
191,33773.0
192,33749.0
193,5288.0
194,5370.0
195,10628.0
196,10716.0
197,1580.0
198,1598.0
199,1087.0
200,1066.0
201,1068.0
202,1062.0
203,13937.0
204,14003.0
205,1106.0
206,18561.0
207,26822.0
208,26804.0
209,26779.0
210,35910.0
211,35929.0
212,32483.0
213,32493.0
214,32481.0
215,32364.0
216,32394.0
217,32356.0
218,32345.0
219,32403.0
220,32415.0
221,32440.0
222,32412.0
223,32433.0
224,35069.0
225,35404.0
226,2763.0
227,2788.0
228,2779.0
229,16898.0
230,17048.0
231,7090.0
232,22202.0
233,1790.0
234,1204.0
235,1221.0
236,24922.0
237,25689.0
238,25691.0
239,25373.0
240,25517.0
241,3548.0
242,3694.0
243,14695.0
244,14861.0
245,20867.0
246,21977.0
247,22047.0
248,20631.0
249,20570.0
250,21271.0
251,21328.0
252,1926.0
253,1643.0
254,1888.0
255,2489.0
256,2638.0
257,2168.0
258,2256.0
259,1538.0
260,1399.0
261,1429.0
262,1682.0
263,1756.0
264,15009.0
265,15019.0
266,9062.0
267,9177.0
268,36321.0
269,36204.0
270,36273.0
271,37344.0
272,18866.0
273,18892.0
274,18909.0
275,19470.0
276,15735.0
277,15370.0
278,3226.0
279,3287.0
280,13264.0
281,13281.0
282,13414.0
283,13484.0
284,13492.0
285,13380.0
286,13349.0
287,12303.0
288,12353.0
289,12145.0
290,12194.0
291,11885.0
292,12917.0
293,12987.0
294,6871.0
295,32479.0
296,9048.0
297,9210.0
298,15991.0
299,16104.0
300,15921.0
301,14942.0
302,13048.0
303,12788.0
304,12824.0
305,10392.0
306,12450.0
307,12546.0
308,10688.0
309,10600.0
310,10755.0
311,10352.0
312,10437.0
313,10479.0
314,10194.0
315,10232.0
316,10283.0
317,2018.0
318,2042.0
319,9851.0
320,9910.0
321,9956.0
322,9975.0
323,9837.0
324,9754.0
325,2062.0
326,2113.0
327,14724.0
328,14887.0
329,8270.0
330,8286.0
331,9448.0
332,9466.0
333,9570.0
334,9002.0
335,12961.0
336,13063.0
337,37482.0
338,37508.0
339,37686.0
340,37588.0
341,37023.0
342,37039.0
343,36433.0
344,36444.0
345,36533.0
346,36549.0
347,36521.0
348,36403.0
349,36427.0
350,36026.0
351,36061.0
352,36013.0
353,36039.0
354,36017.0
355,35878.0
356,36152.0
357,36119.0
358,35746.0
359,35790.0
360,35758.0
361,35763.0
362,35754.0
363,35682.0
364,11850.0
365,11728.0
366,4061.0
367,15245.0
368,15285.0
369,15382.0
370,15469.0
371,13808.0
372,13845.0
373,13978.0
374,15254.0
375,15333.0
376,36359.0
377,35956.0
378,35989.0
379,35939.0
380,35945.0
381,35811.0
382,35842.0
383,35858.0
384,35861.0
385,36108.0
386,35589.0
387,36645.0
388,36711.0
389,36693.0
390,22992.0
391,21970.0
392,22020.0
393,23007.0
394,13803.0
395,13864.0
396,15522.0
397,15570.0
398,15356.0
399,15419.0
400,24163.0
401,14313.0
402,14384.0
403,14322.0
404,14390.0
405,6384.0
406,6422.0
407,5913.0
408,5996.0
409,11824.0
410,11953.0
411,36446.0
412,19208.0
413,18991.0
414,22386.0
415,22417.0
416,10372.0
417,9950.0
418,9990.0
419,10373.0
420,10377.0
421,35922.0
422,35928.0
423,23633.0
424,23626.0
425,23662.0
426,21644.0
427,32578.0
