from,to,len,eid
1,2,2.6449,0.0
1,3,2.8935,1.0
1,25447,2.6364,18810.0
1,25448,2.9013,18814.0
2,25447,0.0721,33498.0
2,25445,61.2783,33499.0
3,25448,0.0673,49603.0
3,4486,214.1796,49604.0
4,25579,8.6597,19614.0
4,16025,1.2728,20729.0
4,25580,10.9567,56280.0
4,25786,43.4787,56281.0
5,6,24.596,5.0
5,12020,32.9244,52084.0
5,12022,24.6284,56282.0
6,7,28.8455,6.0
6,28223,23.0386,36346.0
6,28224,30.2432,36347.0
7,28223,52.2871,52082.0
7,28224,59.6113,52086.0
7,12028,15.5027,56283.0
8,9,9.1186,9.0
8,10,24.3571,10.0
8,6809,55.1984,56284.0
9,6809,43.1133,51640.0
9,6767,4.7333,51641.0
10,6769,8.9201,36783.0
10,743,100.4339,36785.0
11,12,12.6238,11.0
11,28071,37.7666,35301.0
11,22126,64.0256,35302.0
12,22127,67.9988,35079.0
12,28072,35.3201,35080.0
13,14,10.1766,12.0
13,28073,65.5765,35624.0
13,22152,37.4391,35625.0
14,28074,64.436,35561.0
14,22153,39.1355,35562.0
15,16,11.1782,13.0
15,7013,17.0871,31139.0
15,3350,89.1167,31140.0
16,3356,67.2433,32062.0
16,7014,18.0234,32063.0
17,18,14.5074,17.0
17,449,100.5202,38482.0
17,12081,34.54,38485.0
18,6662,7.2729,5871.0
18,25537,7.0712,18954.0
19,20,4.5833,19.0
19,5642,71.2152,32887.0
19,15965,100.167,32888.0
20,1516,5.5972,1985.0
20,5641,73.4726,22314.0
20,15964,97.5636,22316.0
21,25028,8.2264,32927.0
21,25693,16.7926,32928.0
21,26119,16.8833,56285.0
22,103,90.2011,32934.0
22,87,6.3995,32937.0
22,26117,12.7244,56286.0
23,24728,67.4611,33312.0
23,15927,59.265,33314.0
23,92,14.0824,56287.0
24,25,3.4414,24.0
24,25456,23.0338,33504.0
24,79,4.5889,33506.0
25,106,22.93,22338.0
25,26109,10.7197,56288.0
25,102,9.9902,56289.0
26,12411,123.1343,19125.0
26,25641,261.0619,19128.0
27,28,7.1854,37.0
27,3311,27.1408,32859.0
27,3317,25.0525,32862.0
28,3318,20.9442,32417.0
29,30,11.2369,38.0
29,31,13.4919,39.0
29,45,51.8541,39260.0
30,46,51.9074,54004.0
30,12947,26.3848,54007.0
31,12945,35.5989,53934.0
31,47,51.8204,53935.0
32,33,13.3406,41.0
32,34,63.2494,8072.0
32,12950,47.4027,56290.0
33,35,62.4343,38604.0
33,12952,305.9531,38608.0
34,35,13.6756,43.0
34,36,73.1871,56291.0
36,37,12.3906,44.0
36,38,13.4955,45.0
36,45,82.5666,39261.0
37,12949,64.8493,53992.0
37,10134,13.889,56292.0
38,47,83.88,53936.0
38,10132,14.3554,53937.0
39,40,24.3542,46.0
39,41,22.5514,47.0
39,7135,75.6937,20555.0
39,7137,75.6938,38705.0
39,6965,63.8117,38706.0
40,7136,63.571,38830.0
40,6966,72.628,38832.0
41,7141,129.9577,53618.0
41,6967,82.193,53619.0
41,28532,40.7883,56293.0
42,28582,86.5439,39565.0
43,44,14.6164,58.0
43,14459,297.29,53577.0
43,14624,69.0699,53578.0
44,13971,15.4346,10293.0
44,14622,65.311,38732.0
45,46,11.7797,59.0
45,47,12.9465,60.0
46,12948,13.1334,54005.0
48,49,59.7148,62.0
48,3879,79.1739,28755.0
48,3880,121.8851,28756.0
49,27580,78.6098,29014.0
49,3881,122.9345,29018.0
50,51,37.768,64.0
50,52,99.2022,40661.0
50,6399,100.757,40664.0
51,53,98.3345,40686.0
51,6400,101.3941,40693.0
52,53,40.4917,65.0
52,7379,100.5837,40660.0
53,28704,47.0007,40684.0
54,55,11.6785,66.0
54,13787,11.6965,10190.0
54,14641,181.1469,36705.0
55,13788,9.0604,52339.0
55,26149,14.6856,52340.0
56,58,129.9627,27799.0
56,18836,78.7746,27800.0
57,58,14.8135,69.0
57,22833,44.26,28791.0
57,62,120.0106,28792.0
58,25050,52.0594,27797.0
59,60,7.4481,70.0
59,21346,79.9391,46267.0
59,21341,111.345,46268.0
60,21342,112.1096,29094.0
61,13603,17.3729,41845.0
61,13602,16.1219,41846.0
62,18841,108.5578,28788.0
63,68,44.1767,28064.0
63,25772,28.202,28065.0
63,64,21.0636,56294.0
64,11960,131.7278,27334.0
65,1581,79.4104,27066.0
65,69,54.4763,27069.0
65,27383,13.149,56295.0
66,67,4.3642,79.0
66,18992,41.3382,27259.0
66,27415,108.3191,56296.0
67,27384,15.4479,26874.0
67,18993,41.9536,26876.0
68,24474,34.6718,28063.0
68,27415,25.3584,56297.0
69,27384,11.6629,56298.0
70,72,12.3954,49256.0
70,27957,28.3182,56299.0
71,27947,43.3945,33099.0
71,75,89.4042,33100.0
71,27928,22.7259,56300.0
72,27954,47.8132,49251.0
72,27928,53.0238,56301.0
73,27890,117.5272,32671.0
73,77,19.6976,32676.0
73,27900,25.109,56302.0
74,25372,56.4475,33576.0
74,24508,19.8707,33577.0
74,27958,25.553,56303.0
75,27943,101.8265,33088.0
75,27931,31.8102,56304.0
76,77,22.252,96.0
76,8821,154.0327,33123.0
76,27948,103.4065,33124.0
77,8822,166.0938,32677.0
78,100,69.6324,22388.0
78,84,56.2498,22389.0
78,26112,6.4513,56305.0
79,80,7.5816,99.0
79,4310,88.4883,33505.0
80,101,1.9388,33305.0
80,25559,51.9517,33306.0
81,82,1.5489,101.0
81,26115,1.5486,20064.0
81,26113,8.2374,56306.0
82,83,1.6308,102.0
82,26115,0.004,33364.0
82,85,90.7185,33365.0
83,26114,13.7647,20062.0
83,26115,1.6311,20063.0
84,26110,5.9859,56307.0
85,94,105.483,33366.0
85,26116,15.0254,56308.0
86,87,3.3625,106.0
86,88,3.4531,107.0
86,24917,74.3166,22380.0
86,105,10.1939,56309.0
87,25546,76.0395,32936.0
88,24915,72.7435,33679.0
88,104,3.4036,33680.0
89,90,4.0551,109.0
89,26584,4.0551,21116.0
90,91,1.3695,110.0
90,26584,0.0001,33356.0
90,119,111.3912,33358.0
91,25316,11.7065,21115.0
91,26584,1.3695,21117.0
92,93,2.1551,111.0
92,24916,34.8897,33673.0
92,104,82.2787,33678.0
93,105,82.4412,22384.0
93,100,51.127,56310.0
93,26113,7.5518,56311.0
94,24712,102.3725,17502.0
94,24764,80.8584,20071.0
94,27955,110.2947,33367.0
94,26118,16.3738,56312.0
95,96,3.9964,115.0
95,25318,3.9963,18546.0
95,26109,10.4699,56313.0
96,97,1.3921,116.0
96,26584,13.8516,33359.0
96,25318,0.0037,33360.0
97,25318,1.3921,18547.0
97,25317,10.5461,18548.0
98,99,4.6089,118.0
98,26111,4.6047,20057.0
99,25318,68.0334,33361.0
99,26111,0.0067,33362.0
101,102,4.5494,122.0
101,26110,48.1495,33304.0
103,25028,6.1098,32935.0
104,105,2.1533,125.0
106,130,115.8015,22339.0
106,25456,4.3332,56314.0
106,26787,10.4035,56315.0
107,108,3.133,131.0
107,118,78.5186,22334.0
107,130,10.0244,56316.0
108,117,78.5567,49611.0
108,120,2.9596,49612.0
109,27077,34.2294,22451.0
109,27049,64.8034,56317.0
109,28062,45.9253,56318.0
109,16069,41.7138,56319.0
110,111,5.6764,135.0
110,27050,17.5631,22326.0
110,126,63.1449,22327.0
110,26772,18.2568,56320.0
111,112,2.9022,136.0
111,127,62.9477,34643.0
112,6043,14.0423,5391.0
112,6041,87.5996,34641.0
113,114,3.3266,18796.0
113,124,98.7254,22340.0
113,122,115.81,22342.0
113,26775,10.1057,56321.0
114,25439,53.7329,18797.0
114,125,99.3416,34216.0
114,123,114.2118,34217.0
115,28043,5.2686,34645.0
115,27049,36.3961,56170.0
115,28046,26.7293,56322.0
116,26753,76.6446,34155.0
116,26778,13.6975,56323.0
116,131,9.9252,56324.0
117,118,2.1198,141.0
117,133,7.2013,49615.0
118,122,13.1972,56325.0
118,26776,11.1351,56326.0
119,131,7.4078,56327.0
